2018-04-06 15:10:25,b'My cashback Rs. 5&amp;12 not send my account Paytm not good app @Paytm @Paytmcare @PaytmMall https://t.co/vu5neTflpN'

2018-04-06 15:08:33,b'@Paytm I didn\xe2\x80\x99t get any response on this even I replied to your mail also why you guys are so irresponsible to reso\xe2\x80\xa6 https://t.co/chwmMWUBj2'

2018-04-06 15:04:53,"b'RT @lionsdenkxip: Get tickets to our home games from locations near you, and watch the Kings in action.\n\nAlso, book online \xe2\x9e\xa1\xef\xb8\x8f https://t.co/\xe2\x80\xa6'"

2018-04-06 15:03:13,b'@BCCI @Paytm Must win.'

2018-04-06 15:02:56,"b""RT @BCCIWomen: WATCH highlights of India's thrilling one-wicket win over England in the 1st @paytm #ODI in Nagpur here - https://t.co/8XAzx\xe2\x80\xa6"""

2018-04-06 14:57:05,b'@Paytm the fraud bank....paytmbank'

2018-04-06 14:53:44,"b'@Paytmcare @BipinSingh @MobiKwik @MobiKwikSWAT Thanks @Paytm , My tweet was mainly addressed to mobikwik as they ke\xe2\x80\xa6 https://t.co/m8Giv8HKNd'"

2018-04-06 14:53:28,b'RT @ViswajitRaman: @fbraj @Paytmcare @UIDAI @vijayshekhar why does @paytm app require access to call logs?'

2018-04-06 14:53:15,"b'@Paytm Today I had gone to @Paytm for KYC in R-149, Ramdas Swamy Marg, Sector 4, Airoli, Navi Mumbai, Maharashtra 4\xe2\x80\xa6 https://t.co/huPJchL88V'"

2018-04-06 14:49:06,b'@SPSrivastav1986 @vijayshekhar @Paytm @PaytmBank @renusatti You paid 120 bucks for that. What is so nice about a ba\xe2\x80\xa6 https://t.co/ARwOgrbjjp'

2018-04-06 14:44:09,b'@paytm really disgusting told me that we will reach you no call back nothing'

2018-04-06 14:42:56,"b""@Paytmcare No leave it... I've uninstalled PayTM...it was really a nice time with you guys... I've been using\xe2\x80\xa6 https://t.co/oX7UxHr1gI"""

2018-04-06 14:41:53,b'@Paytm in your mega sale madhur sugar cost 295 and @amazonIN normally it is sold for 202. Do let me know if there i\xe2\x80\xa6 https://t.co/sJlKxx0XRQ'

2018-04-06 14:39:10,b'RT @BCCIWomen: India Women Won by 1 Wicket  @paytm #IndvEng #ODI\xc2\xa0 Scorecard:https://t.co/tN7jnIbGUN'

2018-04-06 14:36:36,b'i paid by upi and eligible to get rs 30 cashback 4878989501 and 4875366209. I am not getting cashback for these orders @Paytmcare @Paytm'

2018-04-06 14:34:52,b'RT @m_alviya_rahul: @PaytmBank @Paytm Please add @OnePlus_IN  products on @Paytm'

2018-04-06 14:34:46,b'@mjainrock @vijayshekhar @Paytm @PaytmBank U can check all ur activites and transactions on well maintained @paytm\xe2\x80\xa6 https://t.co/yNMQXHnhgk'

2018-04-06 14:33:15,b'@PaytmBank @Paytm Please add @OnePlus_IN  products on @Paytm'

2018-04-06 14:33:01,"b""@Paytm it's been more then 4 months, tired of contacting paytm abt kyc, changed city changed number a year before,\xe2\x80\xa6 https://t.co/wLFnRueaiO"""

2018-04-06 14:31:57,b'Please add @OnePlus_IN  products on @Paytm. Really waiting to buy from Paytm.'

2018-04-06 14:30:36,"b""@Paytm I've whatsapp you from my merchant RMN kindly check. As I want to receive payment on my @PaytmBank account.\xe2\x80\xa6 https://t.co/1PDexzxuLI"""

2018-04-06 14:30:12,b'@ViswajitRaman @Paytmcare @Paytm how does one unsubscribe and get data wiped out?'

2018-04-06 14:29:44,b'RT @shantanub: Just spoke to a @Paytm KYC rep on the phone who said he would only accept Aadhar and not my passport details. Asked him to n\xe2\x80\xa6'

2018-04-06 14:29:03,b'Finally got my kyc issues resolved by @Paytmcare @Paytm ;thnku'

2018-04-06 14:28:37,b'RT @shantanub: Just spoke to a @Paytm KYC rep on the phone who said he would only accept Aadhar and not my passport details. Asked him to n\xe2\x80\xa6'

2018-04-06 14:27:31,b'@Paytmcare Hello @paytm @paytmcare \nFrom last 10days I am requesting you again and again for KYC verification.But u\xe2\x80\xa6 https://t.co/FHiS8RnivQ'

2018-04-06 14:26:24,b'@Paytmcare my address is not verified please help and no nearby point please help @Paytm https://t.co/jF5WcWbsS1'

2018-04-06 14:24:01,b'@vijayshekhar Will @Paytm launch any crypto currency in coming future? Bcz paytm is everywhere in every field of Busines'

2018-04-06 14:22:22,b'@Paytm @Paytmcare @PaytmMall \n\nThanks for fooling customers with promocode which is applied with \xe2\x82\xb9600 cash back but\xe2\x80\xa6 https://t.co/k2UoolqJpC'

2018-04-06 14:19:17,b'@Paytm @Paytmcare dear paytm care mera paytm account 2 month se block chal rha h.aur appke castumar care koi reply\xe2\x80\xa6 https://t.co/4tKYOyBgMl'

2018-04-06 14:17:12,b'@SinghtheIndian @Paytmcare Agree brother..worst customer service i ever witnessed @Paytm @Paytmcare https://t.co/PYYJRgPq7V'

2018-04-06 14:13:16,b'RT @BCCIWomen: England Women - Playing XI @paytm #IndvEng #ODI https://t.co/1vG8ZMudQR'

2018-04-06 14:13:15,"b""@suhasinih @LangaMahesh Don't worry @malviyamit has order the same against Chinese company and they are target is @Paytm"""

2018-04-06 14:08:12,b'@Paytmcare @Paytm I Still havnt recieved my refund...never knew paytm will be such a waste of time.'

2018-04-06 14:06:44,"b'More choice for Indians......\nPayPal mulls expanding India footprint, take on Paytm in next 5 years\xe2\x80\xa6 https://t.co/ukHZwqGXqw'"

2018-04-06 14:06:37,b'Finally got it... excited \xf0\x9f\x98\x8e\xf0\x9f\x98\x8e\xf0\x9f\x98\x8e @vijayshekhar @PaytmBank @Paytm https://t.co/Y6M3OXi5Zr'

2018-04-06 14:01:57,b'@FreeCharge @Paytm is giving More discount than you guys.'

2018-04-06 13:49:11,b'What the hell Paytm is not working today @Paytm @Paytmcare'

2018-04-06 13:48:28,b'@BCCI @Paytm All the best'

2018-04-06 13:47:27,b'@vijayshekhar @PaytmMall @amitsins @Paytm Paytm is not working . Think about that...Force to download another payment app'

2018-04-06 13:46:37,"b'RT @BCCIWomen: Harmanpreet Kaur  FOUR! India Women 68/2 (13.6) (8x4, 1x6) @paytm #IndvEng #ODI'"

2018-04-06 13:42:42,b'Is there any outage today not able to transact @Paytm @PaytmBank'

2018-04-06 13:32:50,b'@Paytmcare @Paytm @PaytmBank @paytmbankcare @UPI_NPCI @timesofindia @TimesNow @ndtv @htTweets @the_hindu\xe2\x80\xa6 https://t.co/Ih0YIgPjcE'

2018-04-06 13:30:51,b'@Paytm Very sluggish response. Every time they come up with standard template reply.'

2018-04-06 13:29:00,b'@Paytmcare @Paytm @PaytmBank @paytmbankcare @timesofindia @TimesNow @ndtv @htTweets @the_hindu @IndiaToday\xe2\x80\xa6 https://t.co/kUjwDd5xsU'

2018-04-06 13:28:59,b'RT @Paytm: Not enough light to scan the QR Code at night? Turn the Flashlight ON in your Paytm Scanner! #PaytmLikeAPro'

2018-04-06 13:28:02,b'@Paytmcare @Paytm \nFacing problem in adding money to wallet...'

2018-04-06 13:26:59,b'@Paytm how do I delete my account?'

2018-04-06 13:23:36,b'Hello @Paytmcare mene account se abhi 2000Rs add kiye h bt @Paytm m add nhi ho paye h lekin account m se to cut gye\xe2\x80\xa6 https://t.co/uMJsN04SCM'

2018-04-06 13:23:01,b'Is Paytm KYC done for free of cost or should we pay 40 to 60\xe2\x82\xb9 as your KYC point franchises merchants force us to pa\xe2\x80\xa6 https://t.co/8v6vZA1OXA'

2018-04-06 13:22:33,b'@Paytmcare @Paytm why charge for bank to bank transfer...is there some RBI guidelines on this? https://t.co/GyU7L7MGcP'

2018-04-06 13:20:50,"b""RT @BCCI: Follow LIVE action from the 1st @paytm Women's #ODI between India and England on https://t.co/CPALMGgLOj. https://t.co/AqIG1JRKRz"""

2018-04-06 13:19:34,"b'RT @navi_931987: @Paytm @Paytmcare note this tweet is not for you. It\xe2\x80\x99s for the public.\n\nI don\xe2\x80\x99t get it, why some of them are posting about\xe2\x80\xa6'"

2018-04-06 13:18:37,"b""RT @BCCIWomen: WATCH highlights of India's thrilling one-wicket win over England in the 1st @paytm #ODI in Nagpur here - https://t.co/8XAzx\xe2\x80\xa6"""

2018-04-06 13:16:40,b'@paytmbankcare @Paytm @Paytmcare @PaytmBank @UPI_NPCI @timesofindia @TimesNow @ndtv @htTweets @the_hindu\xe2\x80\xa6 https://t.co/JFAzMKvDzM'

2018-04-06 13:13:24,b'Since last weekend for #Rangasthalam in Chennai. Grab ur tickets soon.\n@Paytm offer https://t.co/XeCDDT20ar'

2018-04-06 13:12:14,"b'RT @lionsdenkxip: Get tickets to our home games from locations near you, and watch the Kings in action.\n\nAlso, book online \xe2\x9e\xa1\xef\xb8\x8f https://t.co/\xe2\x80\xa6'"

2018-04-06 13:12:12,"b""Great support by @Paytm &amp; @Paytmcare few months ago I'hv helped their cyber cell team 2 get some info abt d fraudul\xe2\x80\xa6 https://t.co/Rdo1zq5jpl"""

2018-04-06 13:11:12,"b""One of worst customer service ever..\nI'm training to call  last 1 week onwards  continuously but no one agent is re\xe2\x80\xa6 https://t.co/h2EKLRTNuN"""

2018-04-06 13:10:19,"b""RT @BCCIWomen: WATCH highlights of India's thrilling one-wicket win over England in the 1st @paytm #ODI in Nagpur here - https://t.co/8XAzx\xe2\x80\xa6"""

2018-04-06 13:08:44,"b""RT @BCCIWomen: WATCH highlights of India's thrilling one-wicket win over England in the 1st @paytm #ODI in Nagpur here - https://t.co/8XAzx\xe2\x80\xa6"""

2018-04-06 13:05:24,"b""@Paytmcare it's been more than an hour, still issue not resolved... mailed and tweeted issue snapshotb but no respo\xe2\x80\xa6 https://t.co/BneeXZiwMa"""

2018-04-06 13:04:45,b'Need more big companies like @Paytm to support #WomenInCricket. @BCCIWomen #INDWvENGW #Paytm #BCCIWomen #MorePowerToPaytm'

2018-04-06 13:03:08,"b""RT @BCCIWomen: WATCH highlights of India's thrilling one-wicket win over England in the 1st @paytm #ODI in Nagpur here - https://t.co/8XAzx\xe2\x80\xa6"""

2018-04-06 13:02:22,b'@BCCIWomen @Paytm would have preferred to have watched it live on tv ... not just the highlights.. but at least thi\xe2\x80\xa6 https://t.co/pEiGlz5YI0'

2018-04-06 13:00:12,"b""@Paytm @PaytmBank @Paytmcare This is so not good, I've a merchant account, I received a payment on 31st March, whic\xe2\x80\xa6 https://t.co/nFTscLkJDd"""

2018-04-06 12:59:25,"b""@Paytm  what's your helpline number"""

2018-04-06 12:58:38,b'@Paytm Passbook is having issue in opening and adding money to wallet. #paytmdown'

2018-04-06 12:57:22,b'@BCCIWomen @Paytm What a girl @mandhana_smriti is she always gives her best but unfortunately rarely gets support from other end'

2018-04-06 12:56:10,b'@BCCIWomen @Paytm I want to make a new captain of India and the new captain is smriti mandhana.'

2018-04-06 12:55:37,"b""RT @BCCI: Follow LIVE action from the 1st @paytm Women's #ODI between India and England on https://t.co/CPALMGgLOj. https://t.co/AqIG1JRKRz"""

